Order,phi,theta,Method,MAPE
1,-0.9,-0.9,ANN,0.30259
2,-0.9,-0.9,ANN,0.2816
3,-0.9,-0.9,ANN,0.79831
4,-0.9,-0.9,ANN,1.65862
5,-0.9,-0.9,ANN,1.29721
6,0.9,-0.9,ANN,0.00992
7,0.9,-0.9,ANN,0.00959
8,0.9,-0.9,ANN,0.00971
9,0.9,-0.9,ANN,0.01055
10,0.9,-0.9,ANN,0.01087
11,-0.9,0.9,ANN,0.4072
12,-0.9,0.9,ANN,0.28205
13,-0.9,0.9,ANN,0.19434
14,-0.9,0.9,ANN,0.3145
15,-0.9,0.9,ANN,0.31658
16,0.9,0.9,ANN,0.01029
17,0.9,0.9,ANN,0.00896
18,0.9,0.9,ANN,0.01045
19,0.9,0.9,ANN,0.00982
20,0.9,0.9,ANN,0.01042
21,-0.9,-0.9,SVM,0.3892
22,-0.9,-0.9,SVM,0.43917
23,-0.9,-0.9,SVM,1.0164
24,-0.9,-0.9,SVM,3.02584
25,-0.9,-0.9,SVM,4.06409
26,0.9,-0.9,SVM,0.0097
27,0.9,-0.9,SVM,0.00928
28,0.9,-0.9,SVM,0.009692
29,0.9,-0.9,SVM,0.010974
30,0.9,-0.9,SVM,0.011288
31,-0.9,0.9,SVM,0.47379
32,-0.9,0.9,SVM,0.27011
33,-0.9,0.9,SVM,0.20713
34,-0.9,0.9,SVM,0.80621
35,-0.9,0.9,SVM,0.50432
36,0.9,0.9,SVM,0.01128
37,0.9,0.9,SVM,0.0138
38,0.9,0.9,SVM,0.01276
39,0.9,0.9,SVM,0.01212
40,0.9,0.9,SVM,0.01273